month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202605,15001,"hawaii, hi",629000.0,-0.0274,-0.0858,1268,0.0172,-0.0125,88.0,0.0414,0.0233,356,0.0659,0.1558,4,-0.7143,0.0,0.002,-0.0053,0.0,312.0,0.0263,0.0263,0.1605,-0.0051,0.0034,317.0,-0.0125,-0.0785,510.0,-0.0013,-0.0734,1332.0,-0.0089,-0.0486,1258370.0,-0.1046,-0.0783,1571,0.0032,-0.0344,0.25,-0.0075,-0.0179,0.0
202605,15009,"maui, hi",996500.0,-0.0025,-0.1661,1435,-0.0045,0.0781,112.0,-0.0132,0.1915,228,-0.0339,0.0179,4,1.0,0.0,0.0022,0.0012,-0.0001,276.0,-0.035,0.0455,0.1482,-0.0027,-0.001,206.0,0.0352,0.1075,923.0,-0.0141,-0.1104,1023.0,-0.0135,-0.0201,1834608.0,-0.0348,-0.0899,1641,0.0027,0.081,0.1436,0.0055,0.0038,1.0
202605,15007,"kauai, hi",1400000.0,0.0167,0.013,369,0.0424,-0.0798,98.0,-0.0968,0.1136,104,0.3684,0.1818,0,-1.0,-1.0,0.0,-0.0039,-0.0068,68.0,-0.0556,-0.2917,0.1333,-0.0019,-0.033,82.0,-0.0889,-0.1183,965.0,0.0039,-0.0257,1443.0,0.0624,0.0525,2655982.0,0.0083,0.0479,451,0.0123,-0.098,0.2222,-0.032,-0.0097,0.0
202605,15003,"honolulu, hi",665000.0,0.0231,0.003,3286,0.045,-0.0601,71.0,-0.0139,0.1094,1012,0.1145,0.0498,32,4.3333,0.3333,0.006,0.0048,0.0016,628.0,-0.0542,-0.203,0.1171,-0.0107,-0.0237,1172.0,0.1083,0.0464,707.0,0.0099,0.0764,896.0,0.002,-0.0885,1147256.0,-0.0206,0.0202,4463,0.064,-0.0329,0.3567,0.0204,0.0363,0.0
202604,15009,"maui, hi",999000.0,-0.0486,-0.1647,1442,0.0102,0.0983,114.0,0.0295,0.1823,236,0.18,-0.1259,2,-0.5,-0.6667,0.001,-0.0011,-0.0024,286.0,0.144,0.0916,0.1509,0.0195,0.0032,199.0,-0.1076,0.0934,937.0,-0.008,-0.1249,1037.0,-0.0114,-0.0077,1900746.0,-0.0235,-0.1302,1637,-0.0082,0.095,0.1381,-0.0182,-0.0006,1.0
202604,15001,"hawaii, hi",646750.0,-0.0019,-0.0657,1247,-0.0072,-0.008,85.0,0.0305,0.0497,334,0.1929,-0.0402,14,0.75,1.3333,0.0073,0.0031,0.0042,304.0,0.0411,-0.1694,0.1656,0.0131,-0.0198,321.0,-0.0545,-0.0776,510.0,-0.0086,-0.0802,1344.0,-0.0007,-0.0473,1405367.0,-0.0324,-0.0063,1566,-0.0179,-0.0249,0.2575,-0.0129,-0.0194,0.0
202604,15003,"honolulu, hi",650000.0,0.0015,-0.0137,3145,0.0129,-0.0561,72.0,0.0213,0.1803,908,0.0485,-0.1608,6,-0.75,-0.8333,0.0012,-0.0035,-0.0055,664.0,0.1448,-0.1637,0.1278,0.0146,-0.0145,1058.0,-0.0391,-0.0399,700.0,-0.0052,0.0662,894.0,-0.0008,-0.0805,1171385.0,-0.0147,0.0336,4195,-0.0034,-0.0533,0.3363,-0.0182,0.0057,0.0
202604,15007,"kauai, hi",1377000.0,-0.0198,0.0015,354,0.0246,-0.1106,109.0,0.056,0.2191,76,0.1176,-0.283,2,0.0,-0.5,0.0039,-0.0001,-0.0028,72.0,0.2,-0.28,0.1352,0.0158,-0.0335,90.0,0.0169,0.0588,961.0,-0.0134,-0.0466,1358.0,-0.0561,0.0148,2634032.0,0.0457,0.0456,446,0.0265,-0.0767,0.2542,-0.0019,0.0407,0.0
202603,15001,"hawaii, hi",648000.0,0.0105,-0.073,1256,0.0072,0.041,82.0,-0.0296,0.0513,280,-0.186,-0.2135,8,-0.2,1.0,0.0042,-0.001,0.0021,292.0,-0.0135,-0.1705,0.1526,-0.0063,-0.0315,340.0,0.1242,-0.0216,515.0,-0.0014,-0.0831,1345.0,0.0045,-0.0468,1452467.0,0.0598,-0.0196,1595,0.0344,0.0274,0.2704,0.0281,-0.0173,0.0
202603,15009,"maui, hi",1050000.0,-0.0244,-0.122,1427,-0.0021,0.1316,110.0,0.0401,0.1545,200,-0.0654,-0.2424,4,1.0,0.0,0.0021,0.001,-0.0003,250.0,0.0417,-0.0672,0.1314,0.002,-0.0266,223.0,-0.0111,0.2599,944.0,-0.016,-0.1237,1049.0,0.001,0.001,1946470.0,-0.002,-0.1249,1650,-0.0012,0.1442,0.1563,-0.0014,0.0159,1.0
202603,15007,"kauai, hi",1404750.0,-0.0114,0.0038,346,-0.0029,-0.0611,103.0,0.0405,0.0275,68,-0.15,-0.2609,2,-0.5,-0.5,0.004,-0.0038,-0.0023,60.0,-0.0909,-0.1667,0.1195,-0.0159,-0.0082,89.0,0.1346,-0.0781,974.0,-0.0204,-0.0303,1439.0,-0.0184,0.0651,2518808.0,-0.0237,-0.0671,434,0.0248,-0.0606,0.2562,0.031,-0.0047,0.0
202603,15003,"honolulu, hi",649000.0,0.0149,-0.0385,3105,0.0132,-0.0005,71.0,-0.1188,0.1557,866,-0.0226,-0.134,24,-0.5862,0.5,0.0047,-0.0068,0.0017,580.0,-0.0429,-0.1944,0.1131,-0.0084,-0.0318,1101.0,0.0431,0.0324,704.0,-0.0006,0.071,895.0,0.0067,-0.0955,1188873.0,-0.011,0.0234,4209,0.0221,0.0096,0.3545,0.0102,0.0113,0.0
202602,15003,"honolulu, hi",639450.0,-0.0162,-0.0589,3064,0.0146,0.0376,80.0,-0.0588,0.0884,886,-0.0328,-0.0349,58,1.4167,1.0714,0.0116,0.0064,0.0058,606.0,-0.0033,-0.1268,0.1215,-0.0029,-0.0231,1055.0,0.2383,0.1332,704.0,-0.0051,0.0662,889.0,-0.0128,-0.1112,1202101.0,-0.0149,0.0075,4118,0.0537,0.0608,0.3443,0.0622,0.029,0.0
202602,15009,"maui, hi",1076250.0,0.0012,-0.1024,1430,0.0092,0.1726,106.0,0.0291,0.1522,214,-0.1641,-0.036,2,-0.5,-0.6667,0.0011,-0.0011,-0.0026,240.0,0.2245,-0.1045,0.1293,0.0268,-0.0353,226.0,0.3667,0.274,959.0,0.0016,-0.1222,1048.0,0.0,0.0,1950400.0,0.0114,-0.1174,1652,0.0442,0.1876,0.1577,0.0412,0.0126,1.0
202602,15001,"hawaii, hi",641250.0,-0.0119,-0.0898,1247,0.0414,0.0677,85.0,0.0305,0.0,344,0.0488,-0.0282,10,-0.1667,0.0,0.0052,-0.0013,-0.0002,296.0,0.1563,-0.1345,0.1588,0.019,-0.0234,302.0,0.1185,-0.0336,515.0,-0.0108,-0.0855,1339.0,-0.0007,-0.0557,1370543.0,-0.0228,-0.0837,1542,0.0544,0.0394,0.2423,0.0167,-0.0254,0.0
202602,15007,"kauai, hi",1421000.0,0.0157,0.0172,347,0.0102,-0.0402,99.0,-0.0075,0.034,80,0.1765,-0.0909,4,,1.0,0.0078,0.0078,0.0042,66.0,0.1,-0.1951,0.1354,0.0101,-0.0126,78.0,0.1471,-0.1522,995.0,-0.0172,-0.0186,1466.0,0.0,0.0875,2579866.0,-0.0222,-0.0785,424,0.0205,-0.0662,0.2251,0.0269,-0.0297,0.0
202601,15007,"kauai, hi",1399000.0,-0.0534,0.0007,343,-0.0352,-0.0242,100.0,0.0904,-0.0245,68,-0.2093,-0.1053,0,-1.0,,0.0,-0.0037,0.0,60.0,-0.0323,-0.2105,0.1253,0.0088,-0.024,68.0,-0.0355,-0.2444,1012.0,-0.0049,0.0063,1466.0,0.0177,0.0906,2638309.0,0.0412,-0.013,415,-0.0235,-0.06,0.1983,-0.0001,-0.0578,0.0
